,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efni/Subject:,Talnaefni Orkustofnunar / Orkustofnun Data Repository,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titill/Title:,Frumorkunotkun á Íslandi 1940-2020/Primary Energy Use in Iceland 1940-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lykilorð/Keyword:,"Frumorka, vatnsafl, jarðhiti, olía, kol, mór, endurnýjanleg orka/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Primary energy, hydropower, geothermal, oil, coal, peat, renewable energy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auðkenni/Identifier:,OS-2021-T008-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Útgáfudagur/Date:,5/27/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Síðast uppfært/Last edition:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Höfundur/Creator:,Orkustofnun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tímabil/Period:,1.1.1940-31.12.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilvísun:,Orkustofnun (2021). OS-2021-T008-01: Frumorkunotkun á Íslandi 1940-2020 [tölvuskjal].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,Orkustofnun (2021). OS-2021-T008-01: Primary Energy Use in Iceland 1940-2020 [data file].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tafla 1:  Frumorkunotkun á Íslandi 1940-2020.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: Primary Energy Use in Iceland 1940-2020.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ár,Vatnsafl,Jarðhiti,Olía,Kol,Mór,Vindur,Endurnýjanlegt eldsneyti,Samtals,Hlutdeild   endurnýjanlegra orkugjafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Hydropower,Geothermal,Oil,Coal,Peat,Wind,Renewable fuels,Total,Renewables %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[PJ],,,,,,,[PJ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,0.2,0.5,0.8,3.8,0.2,,,5.5,12.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,0.2,0.6,0.9,3.6,0.1,,,5.5,14.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,0.3,0.6,1.2,3.7,0.1,,,5.9,14.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,0.3,0.9,1.2,4.0,0.1,,,6.6,18.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,0.3,2.1,1.2,3.8,0.1,,,7.6,31.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,0.4,2.3,1.4,3.4,0.1,,,7.6,34.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,0.4,2.4,2.2,3.7,0.04,,,8.7,32.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,0.5,2.7,3.2,3.7,0.04,,,10.1,31.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,0.6,2.7,4.7,3.8,0.04,,,11.7,27.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,0.6,2.8,5.6,3.1,0.04,,,12.1,27.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,0.6,3.0,6.1,2.6,0.04,,,12.4,29.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,0.6,3.1,6.7,2.2,,,,12.6,29.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,0.6,3.2,7.8,1.7,,,,13.3,28.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,0.7,3.3,8.5,1.5,,,,14.0,28.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,1.2,3.4,8.8,1.5,,,,15.0,30.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,1.4,3.6,9.0,1.4,,,,15.4,32.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1.5,3.8,9.8,1.4,,,,16.4,31.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,1.5,3.8,10.7,1.0,,,,17.0,31.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,1.6,3.9,11.8,0.9,,,,18.2,30.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,1.7,4.3,12.6,0.8,,,,19.3,30.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,1.9,4.4,12.6,0.7,,,,19.6,32.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,2.1,4.5,12.4,0.6,,,,19.5,33.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,2.1,5.0,12.8,0.5,,,,20.4,34.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,2.3,5.4,13.7,0.4,,,,21.9,35.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,2.4,6.0,14.8,0.3,,,,23.4,35.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,2.3,6.1,15.5,0.3,,,,24.2,34.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,2.2,7.0,16.3,0.2,,,,25.8,36.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,2.4,7.7,17.2,0.2,,,,27.5,36.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,2.5,8.9,16.7,0.1,,,,28.2,40.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,3.1,9.8,17.0,0.1,,,,30.0,43.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,5.1,11.4,16.8,0.1,,,,33.3,49.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,5.5,12.1,18.1,0.0,,,,35.8,49.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,6.1,13.0,18.5,0.0,,,,37.7,50.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,7.9,14.7,20.2,0.0,,,,42.8,52.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,8.1,14.0,20.0,0.0,,,,42.2,52.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,7.9,16.2,19.6,0.0,,,,43.7,55.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,8.5,17.2,18.7,0.0,,,,44.4,57.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,9.1,19.2,20.1,0.0,,,,48.4,58.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,9.4,20.2,20.5,0.0,,,,50.1,59.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,10.1,25.1,20.6,0.7,,,,56.5,62.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,11.0,26.7,18.8,0.9,,,,57.4,65.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,11.1,34.7,18.6,1.5,,,,65.8,69.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,12.3,36.2,21.2,1.4,,,,71.1,68.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,12.9,38.4,21.0,2.0,,,,74.3,69.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,13.5,38.8,22.0,2.8,,,,77.0,67.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,13.2,39.1,21.8,2.9,,,,77.0,67.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,13.8,39.4,23.0,3.3,,,,79.6,66.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,14.1,40.9,25.0,2.6,,,,82.6,66.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,15.0,42.3,26.1,2.7,,,,86.1,66.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,15.2,43.7,26.8,2.9,,,,88.5,66.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,15.0,44.2,26.7,2.7,,,,88.5,66.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,15.0,45.0,25.3,2.8,,,,88.1,68.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,15.5,42.6,27.2,2.2,,,,87.5,66.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,16.1,46.4,28.3,2.3,,,,93.1,67.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,16.2,45.7,28.2,2.3,,,,92.4,67.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,16.8,48.3,29.4,2.7,,,,97.2,67.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,17.1,50.4,30.9,2.6,,,,101.1,66.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,18.7,51.6,32.0,2.7,,,,105.1,66.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,20.2,55.7,32.5,2.4,,,,110.9,68.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,21.8,69.9,33.1,2.9,,,,127.6,71.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,22.9,73.9,33.1,4.0,,,0.0002,133.9,72.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,23.7,78.6,30.8,4.3,,,0.0004,137.4,74.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,25.1,79.8,32.2,4.3,,,0.0005,141.4,74.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,25.5,80.1,31.9,4.2,,,0.0086,141.7,74.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,25.7,77.5,33.8,4.4,,,0.0066,141.4,73.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,25.2,79.7,32.6,4.2,,,0.0120,141.7,74.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,26.2,107.8,34.5,4.3,,,0.0062,172.8,77.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,30.2,132.7,36.1,4.6,,,0.0074,203.6,80.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,44.7,144.3,33.1,4.0,,,0.0136,226.1,83.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44.2,157.8,30.9,3.7,,,0.0159,236.6,85.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,45.3,155.2,29.7,3.9,,,0.0217,234.2,85.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,45.0,156.1,29.3,3.9,,0.000000003,0.0480,234.4,85.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,44.4,173.0,29.0,4.0,,,0.08,250.5,86.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46.3,173.0,30.5,4.6,,0.00002,0.21,254.6,86.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,46.3,172.7,31.2,3.8,,0.00003,0.30,254.3,86.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,49.6,156.2,34.0,4.2,,0.00004,0.68,244.6,84.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
